"file","count"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\teams\\last_five_matches.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\payment\\pages\\payment_choice.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\top_scorers\\top_scorers.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\news_row.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\my_fav\\my_fav_player\\myfavourite_players_bloc.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\widgets\\headline.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\quiz\\quiz_progress_bar.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\pageup\\quarter_final.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\teams\\team_profile_standing\\team_profile_standing_bloc.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\top_scorers\\top_assists.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\match_detail\\details\\possession.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\pagedown\\thirdplace.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\auth\\pages\\image_selector.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\news\\news_state.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\Standing\\fullViewItem.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\match_detail\\build_lineup_card.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\top_scorers\\top_yellow_card.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\seasonsCard.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\seasons_page\\seasons_page_bloc.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\teams\\last_five_matches\\last_five_matches_bloc.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\lineups\\lineups_bloc.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\news\\news_bloc.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\dropdown\\dropdownMenu.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\knockout\\final.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\seasons\\seasons_table_view.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\services\\playlist_repository.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\payment\\pages\\countdown.dart","5"
